sn,day,msg_log,label,prediction,memory,processor,cpu0,asserted,deasserted,caterr,correctable,ecc,uncorrectable,detected,system,0x3b,configuration,power,0x19,state,cpu_caterr,cpu0_status,temperature,cpu1_status,mcerr,error,failure,0x7d,ierr,supply,presence,chassis_control,reset,device,unknown,bios_boot_up,0xe0,machine,boot,disabled,s4s5,transition,up,microcontroller,initiated,125,0x17,0x10,button,0x13,0xf9,event,status,going
SERVER_10093,43883, memory cpu0b1_dimm_stat | memory device disabled | asserted. memory cpu0b1_dimm_stat | memory device disabled | deasserted. system boot initiated bios_boot_up | initiated by warm reset | asserted. management subsys health system_health | sensor access degraded or unavailable | deasserted. memory cpu0b1_dimm_stat | correctable ecc | deasserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. system boot initiated bios_boot_up | initiated by power up | asserted. processor cpu0_status | ierr | deasserted. processor cpu0_status | configuration error | asserted. processor cpu0_status | ierr | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. processor cpu0_status | configuration error | deasserted. management subsys health system_health | sensor access degraded or unavailable | asserted.,1,1,5,4,0,8,5,0,1,1,0,0,4,0,2,3,0,2,0,4,0,0,0,2,0,0,2,0,0,0,1,2,0,2,0,0,2,2,1,0,1,0,4,0,0,0,0,0,0,0,0,0
SERVER_10126,44147, memory cpu1b0_dimm_stat | uncorrectable ecc | asserted. processor cpu1_status | configuration error | asserted.,1,2,1,1,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10222,44020, management subsys health system_health | sensor access degraded or unavailable | deasserted. management subsystem health system_health | sensor access degraded or unavailable | deasserted. processor cpu0_status | ierr | deasserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted. management subsys health system_health | sensor access degraded or unavailable | asserted. management subsystem health system_health | sensor access degraded or unavailable | asserted.,1,1,0,1,0,5,3,0,0,0,0,0,3,0,0,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
SERVER_10228,44142, processor cpu1_status | configuration error | asserted. memory cpu1e0_dimm_stat | uncorrectable ecc | asserted. memory cpu0c0_dimm_stat | memory device disabled | asserted. processor cpu1_status | configuration error | deasserted. memory cpu1e0_dimm_stat | uncorrectable ecc | deasserted. system boot initiated bios_boot_up | initiated by power up | asserted.,1,2,4,2,0,4,2,0,0,2,2,0,1,0,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
SERVER_10272,43843, processor cpu1_status | ierr | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. processor cpu0_status | ierr | asserted. processor cpu1_status | ierr | deasserted.,1,1,0,3,0,4,1,0,0,0,0,0,2,0,0,2,0,2,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10332,44103, processor cpu0_status | ierr | asserted. management subsystem health system_health | sensor access degraded or unavailable | asserted. processor cpu1_status | ierr | asserted. management subsys health system_health | sensor access degraded or unavailable | asserted.,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10334,43932, system boot initiated bios_boot_up | initiated by warm reset | asserted. system boot initiated bios_boot_up | initiated by power up | asserted. processor cpu1_status | ierr | asserted. management subsys health system_health | sensor access degraded or unavailable | asserted. management subsys health system_health | sensor access degraded or unavailable | deasserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. processor cpu1_status | ierr | deasserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted.,1,1,0,2,0,6,2,0,0,0,0,0,4,0,0,3,0,2,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,2,0,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0
SERVER_10338,44009, processor cpu1_status | presence detected | asserted. power supply ps2_status | presence detected | asserted. microcontroller bmc_boot_up | device enabled | asserted. processor cpu0_status | ierr | asserted. power supply ps1_status | presence detected | asserted. processor cpu0_status | presence detected | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted.,1,0,0,3,0,7,0,0,0,0,0,4,1,0,0,3,0,1,0,2,0,1,0,0,0,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SERVER_10341,43983, system boot initiated bios_boot_up | initiated by power up | asserted. processor cpu0_status | ierr | deasserted. management subsys health system_health | sensor access degraded or unavailable | deasserted. system boot initiated bios_boot_up | initiated by warm reset | asserted. processor cpu1_status | ierr | deasserted. processor cpu0_status | ierr | asserted. management subsys health system_health | sensor access degraded or unavailable | asserted. processor cpu1_status | ierr | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted.,1,1,0,4,0,7,3,0,0,0,0,0,4,0,0,3,0,2,0,2,0,2,0,0,0,0,4,0,0,0,1,0,0,2,0,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0
SERVER_10351,43938, system boot initiated bios_boot_up | initiated by warm reset | asserted. processor cpu0_status | configuration error | asserted. processor cpu0_status | ierr | deasserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. processor cpu1_status | ierr | deasserted. processor cpu0_status | ierr | asserted. processor cpu1_status | ierr | asserted. processor cpu0_status | configuration error | deasserted. system boot initiated bios_boot_up | initiated by power up | asserted.,1,1,0,6,0,7,3,0,0,0,0,0,4,0,2,3,0,2,0,4,0,2,0,2,0,0,4,0,0,0,1,0,0,2,0,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0
SERVER_10435,43914, processor cpu0_status | ierr | asserted. memory dimm040_stat | uncorrectable ecc | asserted. processor cpu0_status | configuration error | asserted.,1,2,1,2,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10436,44136, processor cpu0_status | ierr | asserted. management subsys health system_health | sensor access degraded or unavailable | deasserted. processor cpu0_status | ierr | deasserted. system boot initiated bios_boot_up | initiated by warm reset | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. processor cpu1_status | ierr | asserted. management subsys health system_health | sensor access degraded or unavailable | asserted. system boot initiated bios_boot_up | initiated by power up | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. processor cpu1_status | ierr | deasserted.,1,1,0,4,0,7,3,0,0,0,0,0,4,0,0,3,0,2,0,2,0,2,0,0,0,0,4,0,0,0,1,0,0,2,0,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0
SERVER_10439,44011, management subsys health system_health | sensor access degraded or unavailable | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted. processor cpu1_status | ierr | asserted. processor cpu0_status | ierr | asserted.,1,1,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SERVER_10445,43911, memory cpu0b0_dimm_stat | correctable ecc | asserted. memory cpu0b0_dimm_stat | uncorrectable ecc | asserted. processor cpu1_status | ierr | asserted. processor cpu1_status | configuration error | asserted.,0,2,2,2,0,4,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10473,44132, system boot initiated bios_boot_up | initiated by warm reset | asserted. processor cpu0_status | ierr | deasserted. processor cpu0_status | ierr | asserted. processor cpu0_status | configuration error | deasserted. system boot initiated bios_boot_up | initiated by power up | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. processor cpu0_status | configuration error | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted.,0,1,0,4,0,6,2,0,0,0,0,0,4,0,2,3,0,2,0,4,0,0,0,2,0,0,2,0,0,0,1,0,0,2,0,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0
SERVER_10474,43883, system boot initiated bios_boot_up | initiated by warm reset | asserted. management subsys health system_health | sensor access degraded or unavailable | asserted. system boot initiated bios_boot_up | initiated by power up | asserted. processor cpu1_status | ierr | deasserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. management subsys health system_health | sensor access degraded or unavailable | deasserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. processor cpu1_status | ierr | asserted.,1,1,0,2,0,6,2,0,0,0,0,0,4,0,0,3,0,2,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,2,0,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0
SERVER_10478,44092, system boot initiated bios_boot_up | initiated by warm reset | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. processor cpu1_status | ierr | asserted. processor cpu1_status | ierr | deasserted. system boot initiated bios_boot_up | initiated by power up | asserted.,1,1,0,2,0,5,1,0,0,0,0,0,4,0,0,3,0,2,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,2,0,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0
SERVER_10500,43950, processor cpu1_status | ierr | asserted.,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
