sn,fault_time,label
SERVER_10001,2020/5/1 10:04,1
SERVER_10003,2020/3/28 9:48,2
SERVER_10008,2020/2/25 16:12,1
SERVER_10008,2020/3/11 18:04,2
SERVER_10009,2020/5/8 16:37,3
SERVER_10012,2020/7/13 3:32,3
SERVER_10017,2020/6/11 15:52,3
SERVER_10017,2020/6/11 15:52,3
SERVER_10018,2020/5/31 3:33,3
SERVER_10019,2020/1/29 22:38,3
SERVER_1002,2020/11/1 13:52,2
SERVER_10020,2020/11/23 16:11,3
SERVER_10021,2020/2/23 1:43,3
SERVER_10022,2020/1/4 0:38,3
SERVER_10028,2020/1/21 16:33,1
SERVER_10029,2020/4/18 22:01,3
SERVER_10030,2020/1/18 19:32,3
SERVER_10030,2020/1/18 19:32,3
SERVER_10032,2020/10/30 3:28,3
SERVER_10033,2020/3/8 6:24,1
SERVER_10034,2020/3/1 7:59,2
SERVER_10034,2020/3/14 3:41,1
SERVER_10035,2020/7/27 17:37,2
SERVER_10037,2020/1/11 22:10,0
SERVER_10040,2020/6/11 5:47,2
SERVER_10042,2020/6/23 20:15,2
SERVER_1005,2020/6/26 13:04,2
SERVER_10052,2020/7/23 17:49,2
SERVER_10059,2020/3/3 6:56,2
SERVER_10061,2020/5/23 17:29,1
SERVER_10063,2020/6/28 5:24,1
SERVER_10063,2020/11/25 11:57,2
SERVER_10064,2020/5/5 16:54,2
SERVER_10064,2020/5/5 21:54,2
SERVER_10065,2020/3/20 4:41,2
SERVER_10067,2020/6/16 2:06,2
SERVER_10067,2020/6/16 16:58,1
SERVER_1007,2020/10/20 21:53,3
SERVER_10077,2020/2/4 9:47,2
SERVER_10079,2020/4/3 15:15,1
SERVER_10081,2020/11/4 10:37,1
SERVER_10082,2020/8/11 9:18,2
SERVER_10082,2020/8/12 20:09,1
SERVER_10083,2020/7/11 19:50,2
SERVER_10086,2020/5/5 16:40,1
SERVER_10087,2020/1/23 4:51,1
SERVER_1009,2020/8/7 21:57,2
SERVER_10090,2020/8/6 17:55,2
SERVER_10093,2020/2/18 20:40,2
SERVER_10093,2020/2/22 12:33,1
SERVER_10094,2020/4/2 10:22,1
SERVER_10096,2020/8/3 14:05,2
SERVER_10099,2020/5/1 16:15,2
SERVER_101,2020/8/26 22:51,2
SERVER_10100,2020/3/11 7:20,2
SERVER_10100,2020/3/13 9:56,2
SERVER_10101,2020/7/1 20:41,2
SERVER_10101,2020/7/15 19:09,2
