sn,server_model,msg_cnt,fault_hour,fault_minute,msg_1_cnt,msg_2_cnt,msg_3_cnt,msg_4_cnt,msg_hour_max,msg_hour_min,msg_hour_avg,msg_hour_median,msg_hour_mode,msg_minute_max,msg_minute_min,msg_minute_avg,msg_minute_median,msg_minute_mode,msg_log,fault_time
000d33b21436,40,2,16,42,0,0,2,0,15,11,13.0,13.0,11,46,38,42.0,42.0,38, system boot initiated bios_boot_up | initiated by warm reset | asserted. system boot initiated bios_boot_up | initiated by power up | asserted.,2020-09-02 16:42:54
005c5a9218ba,99,10,19,5,0,0,4,0,18,18,18.0,18.0,18,40,26,31.4,26.0,26, memory memory_status | correctable ecc | asserted. system acpi power state #0x7d | s0/g0: working | asserted. system acpi power state #0x7d | s4/s5: soft-off | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted.,2020-06-28 19:05:16
0079283bde6e,14,1,21,32,0,0,1,0,20,20,20.0,20.0,20,54,54,54.0,54.0,54, power supply psu1_supply | failure detected | asserted.,2020-04-26 21:32:44
007bdf23b62f,93,19,18,40,0,0,5,0,17,17,17.0,17.0,17,45,4,24.42105263157895,16.0,16, memory #0xe2 | correctable ecc | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. unknown chassis_control |  | asserted. system boot initiated #0xe0 | initiated by warm reset | asserted.,2020-06-16 18:40:39
00a577a8e54f,13,6,7,16,0,0,6,0,6,6,6.0,6.0,6,52,43,45.666666666666664,45.0,43, system boot initiated system restart | system restart | asserted. os boot bios_boot_up | boot completed - device not specified | asserted. memory mem_chg1_status | correctable ecc | asserted. os stop/shutdown os status | os graceful shutdown | asserted. memory mem_chg1_status | uncorrectable ecc | asserted. os critical stop os status | os graceful shutdown | asserted.,2020-04-07 07:16:55
00a85fb232bf,56,1,3,24,0,0,1,0,3,3,3.0,3.0,3,21,21,21.0,21.0,21, memory cpu0d0_dimm_stat | correctable ecc | asserted.,2020-05-27 03:24:09
00ae2639c426,23,2,5,24,0,0,2,0,4,4,4.0,4.0,4,19,18,18.5,18.5,18, processor cpu0_status | configuration error | asserted. processor cpu_caterr | state asserted | asserted.,2019-12-30 05:24:54
00b9c343ace4,77,9,1,29,0,0,8,0,1,0,0.8888888888888888,1.0,1,59,0,6.888888888888889,0.0,0, memory cpu1_e0 | correctable ecc | asserted. processor #0x71 | configuration error | asserted. system event #0xff | timestamp clock sync | asserted. processor cpu1_status | presence detected | asserted. power supply ps0_status | presence detected | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted. power supply ps1_status | presence detected | asserted. processor cpu0_status | presence detected | asserted.,2020-11-13 01:29:55
00bdcf2207d5,54,1,13,39,0,0,1,0,13,13,13.0,13.0,13,13,13,13.0,13.0,13, memory cpu1c0_dimm_stat | correctable ecc | asserted.,2020-01-04 13:39:40
00c76d7884f5,49,1,21,22,0,0,1,0,16,16,16.0,16.0,16,6,6,6.0,6.0,6, processor cpu_caterr | state asserted | asserted.,2020-07-16 21:22:54
00efc5577dfb,92,8,22,40,0,0,1,0,15,14,14.5,14.5,14,55,13,34.0,34.0,13, memory #0x87 | correctable ecc | asserted.,2020-03-29 22:40:48
0100ff20a414,92,5,10,8,0,0,1,0,10,10,10.0,10.0,10,7,7,7.0,7.0,7, memory #0x87 | correctable ecc | asserted.,2020-06-24 10:08:02
0126a9b6fe8a,35,2,19,42,0,0,2,0,19,19,19.0,19.0,19,41,41,41.0,41.0,41, memory cpu0b0_dimm_stat | uncorrectable ecc | asserted. processor cpu0_status | configuration error | asserted.,2020-11-17 19:42:40
0153c3f57a40,23,2,16,2,0,0,2,0,15,15,15.0,15.0,15,37,37,37.0,37.0,37, unknown #0x17 |  | asserted. processor cpu_caterr | state asserted | asserted.,2020-11-14 16:02:56
