memory,processor,or,cpu,e,mcerr,caterr,ecc,deassert,config,c,microcontroller/coprocessor,uncorrectable ecc,ec,power supply,0,sta,asserted,dimm,0x3b,device disabled,fa,system,on,state,1,status,ierr,uncorrectable,in,failure detected,0x19,f,power,up,cpu_caterr,detected,cpu1,correctable,0x7d,cpu0,error,slot,chassis,ac,op,unknown,boot,warm,enabled,cpu0_status,2,cpu1_status,to,ev,microcontroller,0xe0,state asserted,event,is,6,bios_boo,configuration,trip,bus,system boot initiated,os,no,reset,check,0x13,4,memory dimm,5,initiated by power up,8,0xe2,temp,ff,device,7,cpu1b0_dimm_stat,restart,temperature cpu,lt,memory cpu,cpu0e0_dimm_stat,17,hard reset,state deasserted,controller,controller access degraded or unavailable,but,0xf9,bmc,cpu1a1_dimm_stat,0x10,system event system notice,off,9,ef,reserved,0xff,cpu0b0_dimm_stat,system acpi power state acpi,0xfa,cpu1d1_dimm_stat,disabled,lower,critical,microcontroller bmc,fault,cpu0d0_dimm_stat,0x8c,cpu1a0_dimm_stat,shutdown,transition to running,10,proc_hot,cpu1d0_dimm_stat,initiated by hard reset,present,system event,upper,lower non-critical go,presence detected,cpu1_margin_temp,d0,0xc5,c1,completed,cpu_pg,limit,drive,initiated,dis,ps2_status,version change,0x17,legacy,30,c0,event logging disabled,degrees,cpu0c0_dimm_stat,memory mem,80,cpu1_vr_temp,e1,57,cpu0a1_dimm_stat,27,slot / connector,time,system boot initiated system restart,3,0x7c,drive slot / bay hdd,ps2,log,cpu1e0_dimm_stat,25,not,power state,clock,hdd,chassis_control,85,log area reset/cleared,cpu0a0_dimm_stat,cpu1c0_dimm_stat,subsystem,working,cpu0d1_dimm_stat,card,record,ac lost,0x87,mem_che0_status,management subsys health,cpu0_margin_temp,oem,cpu0_temp,psu0_supply,dimm1,legacy off state,12,psu,0x16,by,fail,button,hard,do,0x30,dimm0,sensor access degraded or unavailable,button_pressed,sel,thermal,watchdog2,sel_status,15,cpu_core_error,125,51,fpga_pg,0xb8,power off/down,ipmi_watchdog,temperature moc,53,margin,cpu0b1_dimm_stat,16,full,50,pwr,transition,uncorrectable machine check exception,fw,74,ps1,ps1_status,button power button,oem specific,threshold,memory_status,0xe4,disk5_stat,20,power button pressed,powerlimiting,memory device disabled,down,105,critical interrupt,e9,24,68,fp,fault status,70,supply,106,time_stamp_sync,dimm120_stat,0203c0a80101,0x80,bios,cpu0f0_dimm_stat,management controller unavailable,f1,sensor failure,drop,temp_dimm_klm,power_drop,os critical stop,os boot,system_health,124,dimm130,ib_card_stat,lost,86,cycle,0xfe,lower critical go,0600c0a80101,dimm001,going,49,reached,acpi,connector,ipmi,0x8f,disk8,cpu0e1_dimm_stat,0xe9,server_model,msg_cnt,fault_hour,fault_minute,nearest_msg_fault_time_delta,all_msg_1_cnt,all_msg_2_cnt,all_msg_3_cnt,all_msg_4_cnt,msg_1_cnt,msg_2_cnt,msg_3_cnt,msg_4_cnt,msg_hour_max,msg_hour_min,msg_hour_avg,msg_hour_median,msg_hour_mode,msg_minute_max,msg_minute_min,msg_minute_avg,msg_minute_median,msg_minute_mode,label,sn,fault_time
0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,16,42,3391,0,0,2,0,0,0,2,0,15,11,13.0,13.0,11,46,38,42.0,42.0,38,-1,000d33b21436,2020-09-02 16:42:54
2,0,4,0,24,0,0,1,0,0,6,0,0,2,0,4,3,4,0,0,0,0,3,0,2,0,1,0,0,3,0,0,3,2,1,0,0,0,1,2,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,99,10,19,5,1475,0,0,10,0,0,0,4,0,18,18,18.0,18.0,18,40,26,31.4,26.0,26,-1,005c5a9218ba,2020-06-28 19:05:16
0,0,0,0,7,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,21,32,2318,0,0,1,0,0,0,1,0,20,20,20.0,20.0,20,54,54,54.0,54.0,54,-1,0079283bde6e,2020-04-26 21:32:44
1,0,3,0,27,0,0,1,0,0,10,0,0,2,0,5,4,5,0,0,0,0,3,1,2,0,2,0,0,3,0,0,3,2,0,0,0,0,1,0,0,0,0,1,4,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,93,19,18,40,3303,0,0,19,0,0,0,5,0,17,17,17.0,17.0,17,45,4,24.42105263157895,16.0,16,-1,007bdf23b62f,2020-06-16 18:40:39
2,0,4,0,36,0,0,2,0,0,17,0,1,5,0,0,6,6,0,0,0,0,3,0,0,2,4,0,1,1,0,0,3,0,1,0,0,0,2,0,0,0,0,0,2,2,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,7,16,1437,0,0,6,0,0,0,6,0,6,6,6.0,6.0,6,52,43,45.666666666666664,45.0,43,-1,00a577a8e54f,2020-04-07 07:16:55
1,0,2,1,6,0,0,1,0,0,5,0,0,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,3,24,168,0,0,1,0,0,0,1,0,3,3,3.0,3.0,3,21,21,21.0,21.0,21,-1,00a85fb232bf,2020-05-27 03:24:09
0,2,3,2,11,0,1,0,0,1,6,0,0,0,0,1,2,3,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,5,24,3937,0,0,2,0,0,0,2,0,4,4,4.0,4.0,4,19,18,18.5,18.5,18,-1,00ae2639c426,2019-12-30 05:24:54
1,3,6,3,60,0,0,1,0,1,22,0,0,6,2,5,5,8,0,0,0,0,2,2,0,4,4,0,0,2,0,0,3,2,3,0,4,2,1,0,1,1,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,9,1,29,1693,0,0,9,0,0,0,8,0,1,0,0.8888888888888888,1.0,1,59,0,6.888888888888889,0.0,0,-1,00b9c343ace4,2020-11-13 01:29:55
1,0,2,1,6,0,0,1,0,0,6,0,0,2,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,13,39,1580,0,0,1,0,0,0,1,0,13,13,13.0,13.0,13,13,13,13.0,13.0,13,-1,00bdcf2207d5,2020-01-04 13:39:40
0,1,1,1,7,0,1,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,21,22,18995,0,0,1,0,0,0,1,0,16,16,16.0,16.0,16,6,6,6.0,6.0,6,-1,00c76d7884f5,2020-07-16 21:22:54
