	word	frequency
0	asserted	66904
1	power	19430
2	system	18863
3	memory	17160
4	drive	15375
5	initiated	14748
6	deasserted	13661
7	processor	12354
8	boot	12189
9	state	11495
10	ecc	10366
11	slot	8724
12	going	8108
13	reading	8106
14	detected	7866
15	temperature	7745
16	acpi	7653
17	present	7441
18	threshold	7392
19	presence	7342
20	c	7174
21	degrees	7171
22	by	6956
23	correctable	6882
24	acpi_pwr_status	6201
25	bios_boot_up	5449
26	critical	5042
27	upper	5038
28	high	5038
29	device	5027
30	uncorrectable	4611
31	bay	4610
32	gt	4577
33	supply	4435
34	cpu0_status	4333
35	error	4293
36	up	4100
37	configuration	3958
38	os	3834
39	unknown	3567
40	cpu1_status	3496
41	s0g0	3490
42	working	3490
43	noncritical	3381
44	cpu_caterr	3360
45	softoff	3276
46	s4s5	3260
47	low	3072
48	lower	3070
49	reset	2985
50	lt	2815
51	event	2755
52	ierr	2687
53	cpu0	2624
54	status	2540
55	warm	2501
56	disabled	2499
57	0xe2	2394
58	0	2337
59	unit	2301
60	85	2251
61	not	2183
62	completed	2161
63	specified	2157
64	sync	1929
65	timestamp	1928
66	clock	1928
67	microcontroller	1857
68	transition	1748
69	to	1748
70	84	1707
71	running	1620
72	0xe0	1523
73	0x16	1481
74	0xf9	1423
75	ps1_status	1413
76	restart	1341
77	1	1339
78	ps2_status	1310
79	0xe9	1242
80	management	1203
81	health	1172
82	enabled	1152
83	dimmg1_temp	1140
84	ac	1115
85	dimmg0_temp	1102
86	microcontrollercoprocessor	1099
87	cpu1_margin_temp	1065
88	offdown	1061
89	bmc_boot_up	1051
90	logging	1045
91	unavailable	1040
92	machine	1037
93	check	1037
94	exception	1022
95	button	1012
96	0x10	1010
97	pwr	1009
98	or	953
99	sensor	951
100	access	951
101	degraded	951
102	0x17	944
103	temp_dimm_klm	936
104	cpu0_margin_temp	933
105	system_health	926
106	temp_dimm_def	912
107	lost	900
108	mcerr	889
109	caterr	874
110	subsys	839
111	failure	833
112	fault	832
113	0xff	762
114	oem	753
115	margin	672
116	log	663
117	sel_status	629
118	graceful	565
119	shutdown	565
120	legacy	551
121	area	535
122	resetcleared	535
123	record	528
124	cpu0a0_dimm_stat	521
125	link	519
126	down	519
127	is	519
128	chassis_control	513
129	2	493
130	cpu0_temp	490
131	hard	482
132	cpu0b0_dimm_stat	479
133	button_pressed	465
134	cpu0d0_dimm_stat	462
135	cpu1b0_dimm_stat	458
136	cpu1e0_dimm_stat	458
137	cpu0e0_dimm_stat	442
138	cpu1a0_dimm_stat	435
139	connector	420
140	cpu1d0_dimm_stat	411
141	100	407
142	off	403
143	fan	402
144	limit	379
145	reached	378
146	0x87	376
147	dimm020	358
148	dimm000	357
149	slotconnector	356
150	0xc5	347
151	watchdog	341
152	dimm030	339
153	dimm010	332
154	pressed	326
155	dimm100	311
156	0x3b	310
157	cycle	309
158	memory_status	309
159	dimm130	306
160	dimm110	303
161	stopshutdown	299
162	cpu1	295
163	dimm120	295
164	port1	294
165	change	288
166	watchdog2	283
167	on	281
168	subsystem	267
169	stop	266
170	cpu0c0_dimm_stat	260
171	105	255
172	outofrange	253
173	ef	253
174	but	251
175	0x7d	250
176	sysrestart	245
177	86	241
178	hardware	230
179	0xfa	226
180	cpu1c0_dimm_stat	222
181	rpm	220
182	ipmi	220
183	dimm011	219
184	interrupt	213
185	dimm001	213
186	disk8	213
187	cpu0f0_dimm_stat	212
188	cpu2	209
189	cpu1f0_dimm_stat	208
190	dimm101	201
191	95	200
192	dimm111	197
193	8	194
194	temp	192
195	ipmi_watchdog	183
196	port2	179
197	dimm	177
198	0xb8	177
199	000000	166
200	predictive	164
201	bus	155
202	98	151
203	dimm021	147
204	nonrecoverable	145
205	version	144
206	pcie_status	143
207	125	143
208	controller	138
209	cpu1_temp	138
210	cpu	136
211	126	131
212	dimm031	128
213	full	128
214	53	126
215	almost	125
216	51	124
217	118	121
218	0x7c	121
219	102	120
220	thermal	119
221	57	116
222	0x19	116
223	117	115
224	93	115
225	58	113
226	0x80	112
227	121	111
228	110	110
229	card	108
230	97	108
231	101	108
232	109	107
233	dimm121	107
234	106	106
235	96	106
236	94	106
237	88	105
238	54	105
239	psu0_supply	104
240	62	104
241	81	101
242	114	101
243	66	100
244	82	99
245	61	99
246	dimm131	99
247	65	98
248	c1	97
249	cpu1a1_dimm_stat	94
250	psu1_supply	94
251	122	94
252	0x8b	94
253	74	94
254	cpu0a1_dimm_stat	93
255	001c4c	93
256	c3	93
257	78	92
258	70	91
259	disk10	88
260	disk9	88
261	bmc	88
262	113	88
263	undetermined	86
264	mem_chd0_status	86
265	73	86
266	69	86
267	addin	85
268	absent	85
269	0x8f	84
270	identify	83
271	91	83
272	0xe4	82
273	redundancy	82
274	124	81
275	127	81
276	cpu0d1_dimm_stat	80
277	cpu0e1_dimm_stat	80
278	92	80
279	informational	79
280	ib_card_stat	79
281	cpu0b1_dimm_stat	78
282	mem_che0_status	78
283	4	78
284	cpu1d1_dimm_stat	77
285	mem_chg0_status	77
286	120	77
287	0xe1	76
288	notice	76
289	77	75
290	0600c0a80101	73
291	108	73
292	0x8c	73
293	104	73
294	116	73
295	powerlimiting	72
296	trip	71
297	pcie	70
298	mem_chb0_status	70
299	0203c0a80101	70
300	mem_chh0_status	69
301	0xfe	69
302	32	68
303	28	68
304	fatal	67
305	ps2	67
306	90	67
307	20	67
308	24	66
309	cpu1e1_dimm_stat	65
310	rebuild	64
311	ps1	63
312	112	62
313	89	61
314	chassis	60
315	0x48	60
316	16	60
317	cpu1b1_dimm_stat	59
318	12	59
319	ps4_status	59
320	hdd74	59
321	0x4b	57
322	in	57
323	hdd52	57
324	0x54	56
325	0x4e	56
326	0x5a	56
327	mem_chc0_status	56
328	fpga_pg	56
329	0x57	55
330	mem_chf0_status	55
331	0x04	55
332	ps3_status	55
333	hdd8	55
334	disk11	54
335	480	54
336	mem_cha0_status	53
337	disk0	53
338	hdd19	53
339	0x51	52
340	0x5e	52
341	cpu2_status	52
342	fw	52
343	49	52
344	hdd23	51
345	hdd26	51
346	hdd25	51
347	hdd7	51
348	hdd12	51
349	hdd0	51
350	hdd13	51
351	hdd10	51
352	hdd51	51
353	hdd38	51
354	hdd62	51
355	hdd5	50
356	disk2	49
357	cpu3_status	49
358	hdd3	49
359	mb_ssd0	49
360	87	49
361	0x41	48
362	83	48
363	hdd22	48
364	sta	48
365	0x15	47
366	0xc1	47
367	hdd2	47
368	hdd24	47
369	hdd14	47
370	hdd16	47
371	hdd18	47
372	hdd6	47
373	hdd11	47
374	hdd27	47
375	hdd20	47
376	hdd1	47
377	hdd21	47
378	hdd17	47
379	hdd4	47
380	hdd15	47
381	hdd9	47
382	hdd63	47
383	hdd34	47
384	hdd48	47
385	hdd46	47
386	hdd75	47
387	hdd29	47
388	hdd59	47
389	hdd32	47
390	hdd58	47
391	hdd40	47
392	hdd45	47
393	disk6	46
394	psu	46
395	0x13	45
396	hdd54	45
397	hdd37	45
398	power_drop	44
399	0x0f	44
400	acpi_pwr_statustota	44
401	hdd65	44
402	hdd57	44
403	cpu_core_error	44
404	lan	43
405	link_up	43
406	hdd61	43
407	hdd70	43
408	hdd72	43
409	hdd42	43
410	hdd44	43
411	hdd69	43
412	hdd43	43
413	hdd50	43
414	hdd73	43
415	hdd60	43
416	hdd33	43
417	hdd47	43
418	hdd67	43
419	hdd39	43
420	hdd28	43
421	hdd68	43
422	hdd71	43
423	hdd66	43
424	hdd64	43
425	hdd49	43
426	hdd56	43
427	hdd53	43
428	hdd30	43
429	hdd41	43
430	hdd31	43
431	hdd55	43
432	hdd35	43
433	50	43
434	time_stamp_sync	42
435	disk4	42
436	disk5	42
437	46	42
438	fan5_rpm	41
439	0x1e	41
440	system_restart	41
441	52	41
442	0x07	40
443	0x1f	40
444	disk7	40
445	os_boot	40
446	36	40
447	dimm4a	39
448	fan6_rpm	39
449	fan1_rpm	39
450	0x1c	39
451	nvme1_status	39
452	ps0_status	39
453	72	39
454	45	39
455	hdd36	39
456	hdd_r_3_status	38
457	fan4_rpm	38
458	fan3_rpm	38
459	terminator	38
460	lcd	38
461	disk3	38
462	disk1	38
463	0x20	38
464	0x22	38
465	0x44	38
466	0x1a	38
467	0x42	38
468	0x43	38
469	c2	38
470	fan2_rpm	37
471	cpu_pg	37
472	44	37
473	hdd_r_5_status	36
474	hdd_l_2_status	36
475	progress	36
476	fan7_rpm	36
477	fan8_rpm	36
478	psu1_status	36
479	cpu0f1_dimm_stat	35
480	aa1700072286108081c0010020	35
481	hdd_r_4_status	34
482	0x18	34
483	os_status	34
484	99	34
485	56	34
486	spare	33
487	moc_fpga_temp	33
488	47	33
489	nvmessd_0	33
490	psu0_status	33
491	hdd_l_5_status	32
492	raid	32
493	nvmessd_2	32
494	nvmessd_3	32
495	aborted	32
496	hot	32
497	0x25	31
498	power_status	31
499	40	31
500	sys_event	31
501	cpu0c1_dimm_stat	30
502	hdd_l_3_status	30
503	hdd_l_1_status	30
504	eth1	30
505	nvmessd_1	30
506	cpu1c1_dimm_stat	29
507	0x1b	29
508	uid	29
509	31	29
510	80	29
511	hdd_l_8_status	28
512	hdd_l_7_status	28
513	37	28
514	dimm2a	27
515	39	27
516	firmwares	27
517	42	27
518	nvmessd_4	27
519	nvmessd_5	27
520	hdd_l_14_status	26
521	hdd_l_17_status	26
522	hdd_r_11_status	26
523	hdd_l_4_status	26
524	3	26
525	d0	26
526	dimm1a	25
527	mem_chc1_status	25
528	nvmessd_6	25
529	nvmessd_7	25
530	hdd_r_1_status	24
531	dimm3a	24
532	hdd_r_6_status	24
533	hdd_r_10_status	24
534	proc_hot	24
535	cpu1f1_dimm_stat	24
536	melx	24
537	0x81	24
538	cpu0_proc_hot	23
539	reserved	23
540	34	23
541	128	23
542	mngmnt	23
543	0x9e	23
544	sps	23
545	hdd_l_18_status	22
546	hdd_l_13_status	22
547	hdd_l_9_status	22
548	hdd_r_2_status	22
549	hdd_r_12_status	22
550	sel	22
551	mem_chb1_status	22
552	mem_chd1_status	22
553	nmidiag	22
554	firmware	22
555	disk16_stat	22
556	disk5_stat	22
557	123	22
558	disk13_stat	21
559	48	21
560	41	21
561	60	21
562	cpu1_c3d0	21
563	hdd_r_18_status	20
564	hdd_r_15_status	20
565	hdd_r_14_status	20
566	hdd_r_23_status	20
567	hdd_l_11_status	20
568	hdd_l_10_status	20
569	hdd_r_25_status	20
570	hdd_l_28_status	20
571	throttled	20
572	disk25_stat	20
573	power_limiting	20
574	aa170007228610e007c0000020	20
575	me_fw_status	19
576	block	19
577	list	19
578	can	19
579	do	19
580	this	19
581	action	19
582	disk10_stat	19
583	disk12_stat	19
584	disk6_stat	19
585	disk1_stat	19
586	disk14_stat	19
587	55	19
588	dimmg2_temp	19
589	dimmg3_temp	19
590	c0	19
591	cpu0_c1d0	19
592	hdd_r_17_status	18
593	hdd_r_8_status	18
594	hdd_l_30_status	18
595	hdd_l_19_status	18
596	hdd_r_7_status	18
597	hdd_l_6_status	18
598	hdd_r_29_status	18
599	hdd_r_9_status	18
600	hdd_r_19_status	18
601	mem_cha1_status	18
602	timer	18
603	nmi	18
604	disk17_stat	18
605	disk18_stat	18
606	0x82	18
607	76	18
608	dimm030_stat	17
609	hdd_r_20_status	17
610	hdd_l_21_status	17
611	hdd_l_16_status	17
612	mem_chg1_status	17
613	64	17
614	mem_che1_status	17
615	disk8_stat	17
616	disk24_stat	17
617	disk15_stat	17
618	disk2_stat	17
619	disk3_stat	17
620	disk4_stat	17
621	43	17
622	0x90	17
623	cpu1_c1d1	17
624	riser2	17
625	hdd_r_28_status	16
626	hdd_l_24_status	16
627	hdd_l_15_status	16
628	hdd_r_30_status	16
629	hdd_r_16_status	16
630	hdd_r_26_status	16
631	hdd_l_25_status	16
632	hdd_r_13_status	16
633	hdd_l_12_status	16
634	s5g2	16
635	mem_chh1_status	16
636	fan6_f_rpm	16
637	mem_chf1_status	16
638	fp	16
639	diag	16
640	int	16
641	disk32_stat	16
642	disk26_stat	16
643	disk29_stat	16
644	hdd77	16
645	cpu0_c4d0	16
646	physical	15
647	security	15
648	areaintrusion	15
649	general	15
650	intrusion	15
651	0xec	15
652	disk20_stat	15
653	disk30_stat	15
654	disk27_stat	15
655	disk28_stat	15
656	251	15
657	0x70	15
658	0x71	15
659	performance	15
660	met	15
661	0x96	15
662	cpu0_c0d0	15
663	cpu0_c5d0	15
664	aa170007228610c007c0000020	15
665	hdd_l_22_status	14
666	hdd_l_23_status	14
667	hdd_r_24_status	14
668	0x74	14
669	0x88	14
670	disk11_stat	14
671	disk33_stat	14
672	disk7_stat	14
673	disk21_stat	14
674	disk9_stat	14
675	me_status	14
676	cpu1_proc_hot	14
677	fully	14
678	redundant	14
679	prochot	14
680	119	14
